run_accession	study_accession	study_title	experiment_accession	experiment_title	experiment_desc	organism_taxid	organism_name	library_name	library_strategy	library_source	library_selection	library_layout	sample_accession	sample_title	instrument	instrument_model	instrument_model_desc	total_spots	total_size	run_total_spots	run_total_bases	run_alias	public_filename	public_url	public_size	public_date	public_md5	public_version	public_semantic_name	public_supertype	public_sratoolkit	ncbi_url	ncbi_free_egress	ncbi_access_type	aws_url	aws_free_egress	aws_access_type	gcp_url	gcp_free_egress	gcp_access_type	experiment_alias	source_name	strain	genotype	cell type	ena_fastq_http	ena_fastq_http_1	ena_fastq_http_2	ena_fastq_ftp	ena_fastq_ftp_1	ena_fastq_ftp_2
SRR5799426	SRP110978	ImmGen ATAC-seq data	SRX2978893	GSM2692214: Tgd.g1.1+d1.24a+.Th#1; Mus musculus; ATAC-seq	GSM2692214: Tgd.g1.1+d1.24a+.Th#1; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332785		NextSeq 500	NextSeq 500	ILLUMINA	13280296	404330222	13280296	996022200	GSM2692214_r1	Tgd.g1.1+d1.24a+.Th.rep1.R2.fastq.bz2	https://sra-pub-src-1.s3.amazonaws.com/SRR5799426/Tgd.g1.1+d1.24a+.Th.rep1.R2.fastq.bz2.1	283977250	2020-03-26 09:19:41	4d575b3ee675c082cfcad7359dc11470	1	fastq	Original	0	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799426.sralite.1	worldwide	anonymous	https://sra-pub-src-1.s3.amazonaws.com/SRR5799426/Tgd.g1.1%2Bd1.24a%2B.Th.rep1.R2.fastq.bz2.1	worldwide	anonymous	gs://sra-pub-zq-6/SRR5799426/SRR5799426.zq.1	gs.US	gcp identity	GSM2692214	Thymus	C57BL/6		gdT Cell		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799426/SRR5799426_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799426/SRR5799426_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/006/SRR5799426/SRR5799426_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/006/SRR5799426/SRR5799426_2.fastq.gz
SRR5799427	SRP110978	ImmGen ATAC-seq data	SRX2978894	GSM2692215: Tgd.g1.1+d1.24a+.Th#2; Mus musculus; ATAC-seq	GSM2692215: Tgd.g1.1+d1.24a+.Th#2; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332786		NextSeq 500	NextSeq 500	ILLUMINA	9284384	276218062	9284384	696328800	GSM2692215_r1	SRR5799427.sralite	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799427.sralite.1	175510625	2020-06-13 22:13:14	6eb0a5bf99cd40d5adae83d3d7a4657b	1	SRA Lite	Primary ETL	1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799427.sralite.1	worldwide	anonymous	s3://sra-pub-zq-1/SRR5799427/SRR5799427.sralite.1	s3.us-east-1	aws identity	gs://sra-pub-zq-5/SRR5799427/SRR5799427.zq.1	gs.US	gcp identity	GSM2692215	Thymus	C57BL/6		gdT Cell		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799427/SRR5799427_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799427/SRR5799427_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/007/SRR5799427/SRR5799427_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/007/SRR5799427/SRR5799427_2.fastq.gz
SRR5799428	SRP110978	ImmGen ATAC-seq data	SRX2978895	GSM2692216: Tgd.g2+d17.LN#1; Mus musculus; ATAC-seq	GSM2692216: Tgd.g2+d17.LN#1; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332787		NextSeq 500	NextSeq 500	ILLUMINA	10456732	310860246	10456732	784254900	GSM2692216_r1	SRR5799428.sralite	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799428.sralite.1	197982496	2020-06-20 18:30:42	4caf76cdb5df85974f38396e0b662b84	1	SRA Lite	Primary ETL	1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799428.sralite.1	worldwide	anonymous	s3://sra-pub-zq-9/SRR5799428/SRR5799428.sralite.1	s3.us-east-1	aws identity	gs://sra-pub-zq-7/SRR5799428/SRR5799428.zq.1	gs.US	gcp identity	GSM2692216	Lymph nodes	C57BL/6		gdT Cell		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799428/SRR5799428_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799428/SRR5799428_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/008/SRR5799428/SRR5799428_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/008/SRR5799428/SRR5799428_2.fastq.gz
SRR5799429	SRP110978	ImmGen ATAC-seq data	SRX2978896	GSM2692217: Tgd.g2+d17.LN#2; Mus musculus; ATAC-seq	GSM2692217: Tgd.g2+d17.LN#2; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332788		NextSeq 500	NextSeq 500	ILLUMINA	13606943	385085491	13606943	1020520725	GSM2692217_r1	Tgd.g2+d17.LN.rep2.R2.fastq.bz2	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799429.sralite.1	271053734	2020-03-26 11:54:09	333624643558c47d1b0ed3729e998b2d	1	fastq	Original	0	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799429.sralite.1	worldwide	anonymous	s3://sra-pub-src-5/SRR5799429/Tgd.g2%2Bd17.LN.rep2.R2.fastq.bz2	-	Use Cloud Data Delivery	gs://sra-pub-zq-6/SRR5799429/SRR5799429.zq.1	gs.US	gcp identity	GSM2692217	Lymph nodes	C57BL/6		gdT Cell		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799429/SRR5799429_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799429/SRR5799429_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/009/SRR5799429/SRR5799429_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/009/SRR5799429/SRR5799429_2.fastq.gz
SRR5799430	SRP110978	ImmGen ATAC-seq data	SRX2978897	GSM2692218: Tgd.g2+d1.LN#1; Mus musculus; ATAC-seq	GSM2692218: Tgd.g2+d1.LN#1; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332789		NextSeq 500	NextSeq 500	ILLUMINA	11669388	338989745	11669388	875204100	GSM2692218_r1	SRR5799430.sralite	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799430.sralite.1	220404838	2020-06-20 18:31:58	90f961d1f8729c2e60f062fcf6d1c215	1	SRA Lite	Primary ETL	1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799430.sralite.1	worldwide	anonymous	s3://sra-pub-zq-5/SRR5799430/SRR5799430.sralite.1	s3.us-east-1	aws identity	gs://sra-pub-zq-5/SRR5799430/SRR5799430.zq.1	gs.US	gcp identity	GSM2692218	Lymph nodes	C57BL/6		gdT Cell		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799430/SRR5799430_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799430/SRR5799430_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/000/SRR5799430/SRR5799430_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/000/SRR5799430/SRR5799430_2.fastq.gz
SRR5799431	SRP110978	ImmGen ATAC-seq data	SRX2978898	GSM2692219: Tgd.g2+d1.LN#2; Mus musculus; ATAC-seq	GSM2692219: Tgd.g2+d1.LN#2; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332790		NextSeq 500	NextSeq 500	ILLUMINA	11047630	320460777	11047630	828572250	GSM2692219_r1	Tgd.g2+d1.LN.rep2.R1.fastq.bz2	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799431.sralite.1	224502636	2020-03-26 07:24:55	8e6d56b2b0c23b3bbd2c1dc88b637998	1	fastq	Original	0	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799431.sralite.1	worldwide	anonymous	s3://sra-pub-src-6/SRR5799431/Tgd.g2%2Bd1.LN.rep2.R1.fastq.bz2	-	Use Cloud Data Delivery	gs://sra-pub-zq-6/SRR5799431/SRR5799431.zq.1	gs.US	gcp identity	GSM2692219	Lymph nodes	C57BL/6		gdT Cell		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799431/SRR5799431_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799431/SRR5799431_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/001/SRR5799431/SRR5799431_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/001/SRR5799431/SRR5799431_2.fastq.gz
SRR5799432	SRP110978	ImmGen ATAC-seq data	SRX2978899	GSM2692220: Tgd.g1.1+d1.LN#1; Mus musculus; ATAC-seq	GSM2692220: Tgd.g1.1+d1.LN#1; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332791		NextSeq 500	NextSeq 500	ILLUMINA	11478973	336216570	11478973	860922975	GSM2692220_r1	Tgd.g1.1+d1.LN.rep1.R1.fastq.bz2	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799432.sralite.1	233990561	2020-03-26 13:38:16	02886d210cf7c6d45e7d1aff8e1f33b3	1	fastq	Original	0	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799432.sralite.1	worldwide	anonymous	s3://sra-pub-src-6/SRR5799432/Tgd.g1.1%2Bd1.LN.rep1.R1.fastq.bz2	-	Use Cloud Data Delivery	gs://sra-pub-zq-6/SRR5799432/SRR5799432.zq.1	gs.US	gcp identity	GSM2692220	Lymph nodes	C57BL/6		gdT Cell		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799432/SRR5799432_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799432/SRR5799432_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/002/SRR5799432/SRR5799432_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/002/SRR5799432/SRR5799432_2.fastq.gz
SRR5799433	SRP110978	ImmGen ATAC-seq data	SRX2978900	GSM2692221: Tgd.g1.1+d1.LN#2; Mus musculus; ATAC-seq	GSM2692221: Tgd.g1.1+d1.LN#2; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332792		NextSeq 500	NextSeq 500	ILLUMINA	12302183	349305247	12302183	922663725	GSM2692221_r1	Tgd.g1.1+d1.LN.rep2.R1.fastq.bz2	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799433.sralite.1	245675903	2020-03-26 18:27:55	d5983d413fa7b70e7a9535a96ac23242	1	fastq	Original	0	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799433.sralite.1	worldwide	anonymous	s3://sra-pub-src-8/SRR5799433/Tgd.g1.1%2Bd1.LN.rep2.R1.fastq.bz2	-	Use Cloud Data Delivery	gs://sra-pub-zq-6/SRR5799433/SRR5799433.zq.1	gs.US	gcp identity	GSM2692221	Lymph nodes	C57BL/6		gdT Cell		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799433/SRR5799433_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799433/SRR5799433_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/003/SRR5799433/SRR5799433_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/003/SRR5799433/SRR5799433_2.fastq.gz
SRR5799434	SRP110978	ImmGen ATAC-seq data	SRX2978901	GSM2692222: T8.TN.P14.Sp#1; Mus musculus; ATAC-seq	GSM2692222: T8.TN.P14.Sp#1; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332793		NextSeq 500	NextSeq 500	ILLUMINA	14084413	425382288	14084413	1056330975	GSM2692222_r1	SRR5799434.sralite	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799434.sralite.1	266186162	2020-06-20 18:32:38	bf0884909951de6bfb64183bb739c1a5	1	SRA Lite	Primary ETL	1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799434.sralite.1	worldwide	anonymous	s3://sra-pub-zq-6/SRR5799434/SRR5799434.sralite.1	s3.us-east-1	aws identity	gs://sra-pub-zq-6/SRR5799434/SRR5799434.zq.1	gs.US	gcp identity	GSM2692222	Spleen	C57BL/6		CD8 T Cell		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799434/SRR5799434_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799434/SRR5799434_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/004/SRR5799434/SRR5799434_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/004/SRR5799434/SRR5799434_2.fastq.gz
SRR5799435	SRP110978	ImmGen ATAC-seq data	SRX2978902	GSM2692223: T8.TN.P14.Sp#2; Mus musculus; ATAC-seq	GSM2692223: T8.TN.P14.Sp#2; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332794		NextSeq 500	NextSeq 500	ILLUMINA	10238215	310878937	10238215	767866125	GSM2692223_r1	T8.TN.P14.Sp.rep2.R2.fastq.bz2	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799435.sralite.1	215765034	2020-03-26 12:33:48	0de84760b5f29b0385cefe2be03607f8	1	fastq	Original	0	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799435.sralite.1	worldwide	anonymous	s3://sra-pub-src-6/SRR5799435/T8.TN.P14.Sp.rep2.R2.fastq.bz2	-	Use Cloud Data Delivery	gs://sra-pub-zq-7/SRR5799435/SRR5799435.zq.1	gs.US	gcp identity	GSM2692223	Spleen	C57BL/6		CD8 T Cell		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799435/SRR5799435_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799435/SRR5799435_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/005/SRR5799435/SRR5799435_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/005/SRR5799435/SRR5799435_2.fastq.gz
SRR5799436	SRP110978	ImmGen ATAC-seq data	SRX2978903	GSM2692224: T8.TE.LCMV.d7.Sp#1; Mus musculus; ATAC-seq	GSM2692224: T8.TE.LCMV.d7.Sp#1; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332795		NextSeq 500	NextSeq 500	ILLUMINA	17507734	514893064	17507734	1313080050	GSM2692224_r1	SRR5799436.sralite	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799436.sralite.1	330645521	2020-06-23 05:28:56	6f0be80129495facab2e7774ef804a72	1	SRA Lite	Primary ETL	1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799436.sralite.1	worldwide	anonymous	s3://sra-pub-zq-5/SRR5799436/SRR5799436.sralite.1	s3.us-east-1	aws identity	gs://sra-pub-zq-6/SRR5799436/SRR5799436.zq.1	gs.US	gcp identity	GSM2692224	Spleen	C57BL/6		CD8 T Cell		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799436/SRR5799436_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799436/SRR5799436_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/006/SRR5799436/SRR5799436_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/006/SRR5799436/SRR5799436_2.fastq.gz
SRR5799437	SRP110978	ImmGen ATAC-seq data	SRX2978904	GSM2692225: T8.TE.LCMV.d7.Sp#2; Mus musculus; ATAC-seq	GSM2692225: T8.TE.LCMV.d7.Sp#2; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332797		NextSeq 500	NextSeq 500	ILLUMINA	11969267	355551515	11969267	897695025	GSM2692225_r1	SRR5799437.sralite	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799437.sralite.1	226091199	2020-06-20 18:31:34	556fbc328dd2dfa85c71e585ea921d64	1	SRA Lite	Primary ETL	1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799437.sralite.1	worldwide	anonymous	s3://sra-pub-zq-6/SRR5799437/SRR5799437.sralite.1	s3.us-east-1	aws identity	gs://sra-pub-zq-7/SRR5799437/SRR5799437.zq.1	gs.US	gcp identity	GSM2692225	Spleen	C57BL/6		CD8 T Cell		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799437/SRR5799437_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799437/SRR5799437_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/007/SRR5799437/SRR5799437_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/007/SRR5799437/SRR5799437_2.fastq.gz
SRR5799438	SRP110978	ImmGen ATAC-seq data	SRX2978905	GSM2692226: T8.MP.LCMV.d7.Sp#1; Mus musculus; ATAC-seq	GSM2692226: T8.MP.LCMV.d7.Sp#1; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332796		NextSeq 500	NextSeq 500	ILLUMINA	15880914	469077487	15880914	1191068550	GSM2692226_r1	SRR5799438.sralite	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799438.sralite.1	300077401	2020-06-23 05:28:44	e2e1c08913dd671f834bc307ab8a3b5b	1	SRA Lite	Primary ETL	1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799438.sralite.1	worldwide	anonymous	s3://sra-pub-zq-1/SRR5799438/SRR5799438.sralite.1	s3.us-east-1	aws identity	gs://sra-pub-zq-5/SRR5799438/SRR5799438.zq.1	gs.US	gcp identity	GSM2692226	Spleen	C57BL/6		CD8 T Cell		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799438/SRR5799438_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799438/SRR5799438_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/008/SRR5799438/SRR5799438_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/008/SRR5799438/SRR5799438_2.fastq.gz
SRR5799439	SRP110978	ImmGen ATAC-seq data	SRX2978906	GSM2692227: T8.MP.LCMV.d7.Sp#2; Mus musculus; ATAC-seq	GSM2692227: T8.MP.LCMV.d7.Sp#2; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332798		NextSeq 500	NextSeq 500	ILLUMINA	9398994	279270564	9398994	704924550	GSM2692227_r1	T8.MP.LCMV.d7.Sp.rep2.R2.fastq.bz2	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799439.sralite.1	195297320	2020-03-26 17:41:40	65516b482b64a309914c276dd69a3321	1	fastq	Original	0	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799439.sralite.1	worldwide	anonymous	s3://sra-pub-src-6/SRR5799439/T8.MP.LCMV.d7.Sp.rep2.R2.fastq.bz2	-	Use Cloud Data Delivery	gs://sra-pub-zq-6/SRR5799439/SRR5799439.zq.1	gs.US	gcp identity	GSM2692227	Spleen	C57BL/6		CD8 T Cell		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799439/SRR5799439_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799439/SRR5799439_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/009/SRR5799439/SRR5799439_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/009/SRR5799439/SRR5799439_2.fastq.gz
SRR5799440	SRP110978	ImmGen ATAC-seq data	SRX2978907	GSM2692228: T8.Tcm.LCMV.d180.Sp#1; Mus musculus; ATAC-seq	GSM2692228: T8.Tcm.LCMV.d180.Sp#1; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332799		NextSeq 500	NextSeq 500	ILLUMINA	8541657	257032881	8541657	640624275	GSM2692228_r1	SRR5799440.sralite	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799440.sralite.1	161553253	2020-06-23 05:26:33	c0f22488bb08d358b801d5e0e60782eb	1	SRA Lite	Primary ETL	1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799440.sralite.1	worldwide	anonymous	s3://sra-pub-zq-5/SRR5799440/SRR5799440.sralite.1	s3.us-east-1	aws identity	gs://sra-pub-zq-7/SRR5799440/SRR5799440.zq.1	gs.US	gcp identity	GSM2692228	Spleen	C57BL/6		CD8 T Cell		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799440/SRR5799440_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799440/SRR5799440_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/000/SRR5799440/SRR5799440_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/000/SRR5799440/SRR5799440_2.fastq.gz
SRR5799441	SRP110978	ImmGen ATAC-seq data	SRX2978908	GSM2692229: T8.Tcm.LCMV.d180.Sp#2; Mus musculus; ATAC-seq	GSM2692229: T8.Tcm.LCMV.d180.Sp#2; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332800		NextSeq 500	NextSeq 500	ILLUMINA	10602545	317312832	10602545	795190875	GSM2692229_r1	T8.Tcm.LCMV.d180.Sp.rep2.R1.fastq.bz2	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799441.sralite.1	221890263	2020-03-26 07:33:43	8a1cb1d2d3baff3d84434a887d02b34c	1	fastq	Original	0	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799441.sralite.1	worldwide	anonymous	s3://sra-pub-src-8/SRR5799441/T8.Tcm.LCMV.d180.Sp.rep2.R1.fastq.bz2	-	Use Cloud Data Delivery	gs://sra-pub-zq-5/SRR5799441/SRR5799441.zq.1	gs.US	gcp identity	GSM2692229	Spleen	C57BL/6		CD8 T Cell		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799441/SRR5799441_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799441/SRR5799441_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/001/SRR5799441/SRR5799441_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/001/SRR5799441/SRR5799441_2.fastq.gz
SRR5799442	SRP110978	ImmGen ATAC-seq data	SRX2978909	GSM2692230: T8.Tem.LCMV.d180.Sp#1; Mus musculus; ATAC-seq	GSM2692230: T8.Tem.LCMV.d180.Sp#1; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332801		NextSeq 500	NextSeq 500	ILLUMINA	10712601	312985018	10712601	803445075	GSM2692230_r1	T8.Tem.LCMV.d180.Sp.rep1.R2.fastq.bz2	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799442.sralite.1	219667226	2020-03-26 07:34:14	940c69ac3283793291b93f75f4aaabe8	1	fastq	Original	0	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799442.sralite.1	worldwide	anonymous	s3://sra-pub-src-7/SRR5799442/T8.Tem.LCMV.d180.Sp.rep1.R2.fastq.bz2	-	Use Cloud Data Delivery	gs://sra-pub-zq-6/SRR5799442/SRR5799442.zq.1	gs.US	gcp identity	GSM2692230	Spleen	C57BL/6		CD8 T Cell		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799442/SRR5799442_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799442/SRR5799442_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/002/SRR5799442/SRR5799442_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/002/SRR5799442/SRR5799442_2.fastq.gz
